material	no.	type of sound change	specific point of sound change	symbol	katakana	explanation	sound *drive	text	Japanese
TED #Grit	7	Linking	income, standardized	/ˈɪnkʌm ˈstændərdaɪzd/	ｲﾝｶﾑｽﾀﾝﾀﾞﾀﾞｲｽﾞﾄﾞ	mとsが滑らかに繋がります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Reduction	year to	/jɪər rə/	ｲｱﾗ	toのtが弱化して「ﾗ」に近い音になり、前のrと繋がります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Reduction	likely to	/ˌlaɪkli rə/	ﾗｲｸﾘﾗ	toが非常に短く弱化して「ﾗ」のように聞こえます。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Reduction	test scores	/tɛs skɔːrz/	ﾃｽｽｺｱｽﾞ	testのtが消失し、次のsへ滑らかに繋がります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Flap T	started studying	/ˌstɑːrɪd ˈstʌdiɪŋ/	ｽﾀｰﾘｯﾄﾞｽﾀﾃﾞｨｲﾝ	startedのtが母音に挟まれフラップ化し「ｽﾀｰﾘｯﾄﾞ」になります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Flap T	waited around	/ˈweɪrɪr əˈraʊnd/	ｳｪｲﾘﾗﾗｳﾝﾄﾞ	waitedのtがフラップ化し、さらにaroundと繋がって「ｳｪｲﾘﾗﾗｳﾝﾄﾞ」になります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	7	Special	at school	/ətskuːl/	ｱｯｽｸｰﾙ	atのtが飲み込まれ、次のsと一体化して「ｱｯｽｸｰﾙ」になります。		A few years ago, I started studying grit in the Chicago public schools. I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school.	A few years ago, I started studying grit in the Chicago public schools. 数年前、私はシカゴの公立学校で「グリット（やり抜く力）」の研究を始めました。  I asked thousands of high school juniors to take grit questionnaires, and then waited around more than a year to see who would graduate. 数千人の高校2年生（11年生）にグリットに関するアンケート調査への回答を依頼し、その後1年以上かけて、誰が実際に卒業するのかを追跡調査しました。  Turns out that grittier kids were significantly more likely to graduate, even when I matched them on every characteristic I could measure, things like family income, standardized achievement test scores, even how safe kids felt when they were at school. その結果、グリットがより強い子供たちは、卒業できる可能性が極めて高いことが判明しました。たとえ世帯収入や標準学力テストのスコア、さらには学校でどれほど安全に感じているかといった、測定可能なあらゆる特性を等しくして比較しても、その差は歴然でした。
TED #Grit	8	Linking	just at	/dʒʌstæt/	ｼﾞｬｽﾀｯ	tとaが繋がり「ｼﾞｬｽﾀｯ」になります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Linking	risk for	/rɪskfɔːr/	ﾘｽｸﾌｫｰ	kとfが滑らかに繋がります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Linking	dropping out	/drɑːpɪŋaʊt/	ﾄﾞﾛｯﾋﾟﾝｶﾞｳﾄ	ngとo(a)が繋がり「ﾄﾞﾛｯﾋﾟﾝｶﾞｳﾄ」になります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Linking	building it	/ˈbɪldɪŋɪt/	ﾋﾞﾙﾃﾞｨﾝｷﾞｯ	ngとiが繋がり「ﾋﾞﾙﾃﾞｨﾝｷﾞｯ」になります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Linking	honest answer is	/ˌɑːnəst ˈænsər ɪz/	ｵﾆｽﾀﾝｻｰﾘｽﾞ	tとa、rとiが連続して繋がり「ｵﾆｽﾀﾝｻｰﾘｽﾞ」になります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Reduction	parents and	/ˌpɛərənts ən/	ﾍﾟｱﾚﾝﾂｧﾝ	andのdが消失し、次の語へ滑らかに繋がります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Reduction	don't know	/doʊn oʊ/	ﾄﾞｳﾉｳ	tが消失し、さらにn同士が重なって「ﾄﾞｳﾉｳ」のように聞こえます。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Flap T	little	/ˈlɪrəl/	ﾘﾗ	tが母音に挟まれフラップ化し「ﾘﾗ」になります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	8	Special	What do I	/wʌrəwaɪ/	ﾜﾗﾜｲ	whatのtがフラップ化し、doのdも弱化して「ﾜﾗﾜｲ」のように繋がります。		So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. To me, the most shocking thing about grit is how little we know, how little science knows, about building it. Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? How do I keep them motivated for the long run?" The honest answer is, I don't know.	So it's not just at West Point or the National Spelling Bee that grit matters. It's also in school, especially for kids at risk for dropping out. つまり、グリットが重要となるのは、ウエストポイント（陸軍士官学校）や全米スペリング・ビーのような場だけではありません。学校においても、特に中退の危機にある子供たちにとって重要なのです。  To me, the most shocking thing about grit is how little we know, how little science knows, about building it. 私にとって、グリットについて最も衝撃的なのは、それをどう育むかについて、私たち、そして科学がいかに何も知らないかということです。  Every day, parents and teachers ask me, "How do I build grit in kids? What do I do to teach kids a solid work ethic? 毎日、保護者や教師の方々からこう聞かれます。「どうすれば子供たちのグリットを育てられますか？ 子供たちにしっかりとした勤労意欲（ワークエシック）を教えるには何をすればいいですか？」  How do I keep them motivated for the long run?" The honest answer is, I don't know. 「どうすれば彼らの意欲を長期にわたって維持できるでしょうか？」と。正直な答えを言えば、私にも分からないのです。
TED #Grit	9	Linking	What I	/wʌraɪ/	ﾜﾗｲ	tが母音に挟まれフラップ化し「ﾜﾗｲ」になります。		What I do know is that talent doesn't make you gritty. Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. So far, the best idea I've heard about building grit in kids is something called "growth mindset.” This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort.	What I do know is that talent doesn't make you gritty. 私が分かっているのは、才能があるからといって「やり抜く力（グリット）」が備わるわけではないということです。  Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. 私たちのデータは、才能に恵まれていながら、自分が決めたことを最後までやり遂げられない個人が数多く存在することを非常に明確に示しています。  In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. 実際、私たちのデータでは、やり抜く力は通常、才能の指標とは無関係であるか、あるいは負の相関（反比例）関係にさえあります。  So far, the best idea I've heard about building grit in kids is something called "growth mindset.” これまでのところ、子供たちのやり抜く力を育むための最良のアイデアとして私が耳にしたのは、「成長マインドセット」と呼ばれるものです。  This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort. これはスタンフォード大学のキャロル・ドゥエック教授によって提唱された考え方で、学習能力は固定されたものではなく、努力によって変えることができるという信念のことです。
TED #Grit	9	Linking	there are	/ðɛrɑːr/	ｾﾞｱﾗｰ	rとaが繋がり「ｾﾞｱﾗｰ」になります。		What I do know is that talent doesn't make you gritty. Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. So far, the best idea I've heard about building grit in kids is something called "growth mindset.” This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort.	What I do know is that talent doesn't make you gritty. 私が分かっているのは、才能があるからといって「やり抜く力（グリット）」が備わるわけではないということです。  Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. 私たちのデータは、才能に恵まれていながら、自分が決めたことを最後までやり遂げられない個人が数多く存在することを非常に明確に示しています。  In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. 実際、私たちのデータでは、やり抜く力は通常、才能の指標とは無関係であるか、あるいは負の相関（反比例）関係にさえあります。  So far, the best idea I've heard about building grit in kids is something called "growth mindset.” これまでのところ、子供たちのやり抜く力を育むための最良のアイデアとして私が耳にしたのは、「成長マインドセット」と呼ばれるものです。  This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort. これはスタンフォード大学のキャロル・ドゥエック教授によって提唱された考え方で、学習能力は固定されたものではなく、努力によって変えることができるという信念のことです。
TED #Grit	9	Linking	through on	/θruːɑːn/	ｽﾙｰﾜﾝ	uとoの間にwのような音が入り「ｽﾙｰﾜﾝ」のように繋がります。		What I do know is that talent doesn't make you gritty. Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. So far, the best idea I've heard about building grit in kids is something called "growth mindset.” This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort.	What I do know is that talent doesn't make you gritty. 私が分かっているのは、才能があるからといって「やり抜く力（グリット）」が備わるわけではないということです。  Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. 私たちのデータは、才能に恵まれていながら、自分が決めたことを最後までやり遂げられない個人が数多く存在することを非常に明確に示しています。  In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. 実際、私たちのデータでは、やり抜く力は通常、才能の指標とは無関係であるか、あるいは負の相関（反比例）関係にさえあります。  So far, the best idea I've heard about building grit in kids is something called "growth mindset.” これまでのところ、子供たちのやり抜く力を育むための最良のアイデアとして私が耳にしたのは、「成長マインドセット」と呼ばれるものです。  This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort. これはスタンフォード大学のキャロル・ドゥエック教授によって提唱された考え方で、学習能力は固定されたものではなく、努力によって変えることができるという信念のことです。
TED #Grit	9	Linking	idea I've	/aɪˈdɪərəɪv/	ｱｲﾃﾞｨｱﾗｲｳﾞ	aとIが繋がり、間にrのような音が介在することもあります。		What I do know is that talent doesn't make you gritty. Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. So far, the best idea I've heard about building grit in kids is something called "growth mindset.” This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort.	What I do know is that talent doesn't make you gritty. 私が分かっているのは、才能があるからといって「やり抜く力（グリット）」が備わるわけではないということです。  Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. 私たちのデータは、才能に恵まれていながら、自分が決めたことを最後までやり遂げられない個人が数多く存在することを非常に明確に示しています。  In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. 実際、私たちのデータでは、やり抜く力は通常、才能の指標とは無関係であるか、あるいは負の相関（反比例）関係にさえあります。  So far, the best idea I've heard about building grit in kids is something called "growth mindset.” これまでのところ、子供たちのやり抜く力を育むための最良のアイデアとして私が耳にしたのは、「成長マインドセット」と呼ばれるものです。  This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort. これはスタンフォード大学のキャロル・ドゥエック教授によって提唱された考え方で、学習能力は固定されたものではなく、努力によって変えることができるという信念のことです。
TED #Grit	9	Linking	This is an	/ðɪsɪzən/	ﾃﾞｨｽｨｻﾞﾝ	sとi、zとaが連続して繋がり「ﾃﾞｨｽｨｻﾞﾝ」になります。		What I do know is that talent doesn't make you gritty. Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. So far, the best idea I've heard about building grit in kids is something called "growth mindset.” This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort.	What I do know is that talent doesn't make you gritty. 私が分かっているのは、才能があるからといって「やり抜く力（グリット）」が備わるわけではないということです。  Our data show very clearly that there are many talented individuals who simply do not follow through on their commitments. 私たちのデータは、才能に恵まれていながら、自分が決めたことを最後までやり遂げられない個人が数多く存在することを非常に明確に示しています。  In fact, in our data, grit is usually unrelated or even inversely related to measures of talent. 実際、私たちのデータでは、やり抜く力は通常、才能の指標とは無関係であるか、あるいは負の相関（反比例）関係にさえあります。  So far, the best idea I've heard about building grit in kids is something called "growth mindset.” これまでのところ、子供たちのやり抜く力を育むための最良のアイデアとして私が耳にしたのは、「成長マインドセット」と呼ばれるものです。  This is an idea developed at Stanford University by Carol Dweck, and it is the belief that the ability to learn is not fixed, that it can change with your effort. これはスタンフォード大学のキャロル・ドゥエック教授によって提唱された考え方で、学習能力は固定されたものではなく、努力によって変えることができるという信念のことです。
